module_type,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Livestock,Eastern Asia,Boreal,Dry,Low Activity Clay,11,7.066824810671683,0.6424386191519712,0.9285569452231295,-24.309430106262315,24.309430106262315,-6.571764031080899,8.353958468617027
Livestock,South America,Tropical,Moist,High Activity Clay,11,6.984531701587441,0.6349574274170401,0.4120510696673279,-23.000824965394283,24.60442695269485,-8.585980614714572,10.08447715165267
Livestock,Central Asia,Warm Temperate,Moist,Low Activity Clay,11,6.958073009278555,0.632552091752596,-2.593755377644163,-23.891253855563654,31.98448955207476,-12.802872804893996,12.802872804893996
Livestock,South America,Tropical Montane,Dry,Spodic,11,6.9149906164262385,0.6286355105842035,0.30258479961340373,-20.759192703596785,22.006384850529635,-7.091312433553145,6.7895544576572675
Livestock,South-Eastern Asia,Tropical Montane,Dry,Low Activity Clay,11,6.861852372129923,0.6238047611027203,1.4097852487972429,-21.787756584609912,21.302362706311992,-8.935699384761733,8.617226847836514
Livestock,Caribbean,Cool Temperate,Dry,Sandy,11,6.6937695680611276,0.6085245061873752,0.13050508906846733,-22.490917167366952,27.945391539192066,-7.149192661198786,6.6043854360853285
Livestock,Europe,Warm Temperate,Dry,Low Activity Clay,7,6.654129110171988,0.9505898728817126,-1.6434793241999996,-13.191274743750004,16.224927074999997,-11.214287831250001,12.498193125000004
Livestock,South America,Tropical,Dry,Sandy,11,6.607342557374309,0.6006675052158463,0.19004524650552143,-22.006384850529635,22.98444639944207,-7.021898314052302,7.912852695864403
Livestock,South America,Boreal,Moist,Low Activity Clay,11,6.607088729470161,0.6006444299518328,0.06194353886401983,-23.050823616599427,24.3256093239857,-8.646102281442165,10.02769819987267
Livestock,Europe,Tropical,Wet,Low Activity Clay,6,6.552009452767478,1.0920015754612462,-0.21240871511624926,-25.640571465,24.25738443749999,-11.149116552000002,19.50913046249999
Livestock,Europe,Cool Temperate,Moist,Low Activity Clay,5,6.529270917645007,1.3058541835290014,0.8618711339699996,-7.1856615599999945,7.401464707500002,-1.1099855513250005,6.5615821875
Livestock,Oceania,Tropical,Moist,Low Activity Clay,11,6.457620760795063,0.5870564327995512,-1.272975228642451,-20.044207106193234,23.91855463469433,-6.596878027322473,6.343839417189214
Livestock,Europe,Tropical,Dry,Low Activity Clay,6,6.438168257377522,1.0730280428962538,-2.7400965655612506,-29.407949077499982,23.634979593750003,-3.429289190250001,21.120620062500002
Livestock,Caribbean,Tropical,Dry,Sandy,11,6.406636070280703,0.5824214609346093,0.18195821473932883,-25.600597161560994,25.600597161560994,-9.804534110990712,9.595927002246231
Livestock,South-Eastern Asia,Tropical,Wet,Sandy,11,6.401887999472123,0.5819898181338293,1.4210771875316157,-22.540868696380446,23.243750128739254,-6.207121046240565,8.068903345416176
Livestock,North America,Tropical,Wet,Spodic,7,6.373586312055003,0.9105123302935718,-0.7075352582760004,-34.39788994687501,37.14972114262501,-32.33401655006251,36.85488208593751
Livestock,Oceania,Cool Temperate,Moist,Sandy,11,6.355413099138446,0.5777648271944043,1.5568138499466782,-23.26087514138814,21.481295869305647,-5.900713382825076,7.312264108594849
Livestock,Europe,Tropical,Moist,Wetland,7,6.348565496574016,0.9069379280820024,-2.5639551472499997,-25.212085919999993,24.47698176,-21.854447999999984,23.602803839999996
Livestock,Caribbean,Cool Temperate,Moist,Low Activity Clay,11,6.3271348201557815,0.5751940745596165,0.1428705968807722,-22.08654126476143,27.538527455051703,-10.250535937647618,7.313499902989028
Livestock,Caribbean,Cool Temperate,Moist,Wetland,11,6.320196364477348,0.5745633058615771,0.10379706092268759,-25.406747516162845,27.538527455051703,-7.313499902989028,8.27018479094468
