site_location_type;peat_type;climate;moisture;module_type;co2;ch4;doc;n2o
Off-Site;Nutrient Rich;Cool Temperate;Dry;FloodedRice;0;0;0,31;0
Off-Site;Nutrient Rich;Cool Temperate;Moist;FloodedRice;0;0;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Dry;FloodedRice;0;0;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Moist;FloodedRice;0;0;0,31;0
Off-Site;Nutrient Rich;Tropical;Dry;FloodedRice;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical;Moist;FloodedRice;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical;Wet;FloodedRice;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical Montane;Dry;FloodedRice;0;2259;0,82;0
Off-Site;Nutrient Rich;Boreal;Dry;Grassland;0;527;0,12;0
Off-Site;Nutrient Rich;Boreal;Moist;Grassland;0;527;0,12;0
Off-Site;Nutrient Rich;Cool Temperate;Dry;Grassland;0;527;0,31;0
Off-Site;Nutrient Rich;Cool Temperate;Moist;Grassland;0;527;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Dry;Grassland;0;527;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Moist;Grassland;0;527;0,31;0
Off-Site;Nutrient Rich;Tropical;Dry;Grassland;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical;Moist;Grassland;0;2259;0,82;0
